selfies,Class
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][C],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][C][C][C],1
[F][C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][#C][C][O][C][C@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=C][Ring1][#Branch2],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][#C],0
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][C][C][#N],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][\C][=C][\C][C][C][O][C],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][\C][=C][\C][C][O],1
[F][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][O][C][C][C][C][F][C@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=C][Ring1][#Branch2],1
[F][C][=C][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][#C][C][O][C][C@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][Branch1][C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=C][Ring1][O],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C@@H1][Branch1][Ring1][C][C][C],0
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[F][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][C][#C][C][C][C][F][C@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=C][Ring1][#Branch2],1
[F][C][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][C][C],1
[F][C][Branch1][C][F][C][\C][=C][\C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C@][Branch1][=C][N][=C][Branch1][C][N][N][Branch1][C][C][C][Ring1][#Branch1][=O][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][F][F][C][=C][Ring1][#Branch2],1
