selfies,p_np
[C][=Branch1][C][=O][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][C][Cl][C][C][Cl],1
[C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Br][C][O][C][Branch1][C][N][=O],1
[C][=C][Branch1][#C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][Branch1][C][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],1
[O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],1
[C][C@H1][Branch1][C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C@H1][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][C][S][C],1
[C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[C][=C][Branch2][Ring1][Branch2][C][=Branch2][Ring1][Ring1][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch1][/C][C][C][C][C][=N][\O][C][C][N][C][N],1
[C][=C][Branch1][N][C][Branch1][#Branch1][O][C][Branch1][C][N][=O][C][#C][C][=C][C][=C][Ring1][=N],1
[C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][SH0][Branch1][C][N][=Branch1][C][=O][=O][C][Branch1][C][O][=O],1
[C@@H1][Branch1][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][Branch1][C][C][N],1
[C][SH0][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl],1
[C][C][Branch1][C][N][C][O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],1
[C][=C][Branch2][Ring1][Ring2][C][Branch1][C][O][C][Branch1][Ring1][C][O][N][C][Branch1][=Branch1][C][Branch1][C][Cl][Cl][=O][C][=C][C][=Branch1][Ring2][=C][Ring1][P][C][=Branch1][C][=O][C],1
[C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][Branch2][N][Branch1][Ring2][C][C][#C][C][C],1
[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][C][C],1
[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],1
[C][=Branch2][Ring1][=Branch2][=C][Branch1][P][C][=C][Branch1][=Branch2][N][C][Branch1][Ring2][C][C][C][=O][C][=C][Ring1][N][C][Branch1][C][C][=O][O][C][C][Branch1][Branch2][C][N][C][Branch1][C][C][C][O],1
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],1
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],1
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],1
[C][=C][C][=Branch2][Ring1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][C][C][Branch1][#Branch2][O][C][Branch1][C][C][Branch1][C][C][C][=O][N][Branch1][Ring2][C][C][Cl][C][C][Cl],1
[C][=C][Branch1][=N][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][O][C][C][C][N][Branch1][Ring2][C][C][#C][C],1
[C][=C][C][=C][C][=Branch2][Ring2][Ring2][=C][Ring1][=Branch1][O][C][C][Branch1][#C][C][O][C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][O][C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][C],1
