selfies,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
[C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][Branch1][C][C][O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][O][O][C][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[O][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1].[C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1].[Zn+2],,,,,,,,0.0,,0.0,,
[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C][=Branch1][C][=C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][O][C][C][Branch1][C][O][C][N],0.0,0.0,0.0,,0.0,,,,,0.0,,
[C][#C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][=Branch1][C][=O][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][N][C][=Branch1][C][=S][N][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
[C][C][C][C][N][C][=Branch1][C][=O][N][C][C][C][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][/C][=C][\C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][Branch1][Ring1][C][O][C][O],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
[C][C][/C][=C][\C][C][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N][#C][C][C][N][C][C][C][#N],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=N+1][Branch1][C][O-1][O-1].[O][=N+1][Branch1][C][O-1][O-1].[Ca+2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][C][C][C],0.0,,0.0,,,,,,0.0,,,
[C][C][Branch1][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][S],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][Branch1][#Branch2][C][O][C][=Branch1][C][=O][C][C][S][C][O][C][=Branch1][C][=O][C][C][S],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
[F][B-1][Branch1][C][F][Branch1][C][F][F].[H+1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[I-1].[K+1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][/C][=C][/C][=C][/C][=O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
[C][Si][Branch1][C][C][Branch1][C][C][N][Si][Branch1][C][C][Branch1][C][C][C],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][=C][C][=Branch1][C][=O][O][C][C][Cl],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
[O][=C][Branch1][C][O][/C][=C][Branch1][#Branch1][\C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O][=C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][O],,,,,,,,0.0,,0.0,,
[C][C][C][C][C][=Branch1][C][=O][O-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[C][C][C][C][C][C][C][Branch1][C][C][O],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
