selfies,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre
[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][C][=C][C][=O],citral,-2.579,1,152.237,0,0,4,17.07,-2.06
[C][C][C][C][=C],1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68
[C][C][C][C][C][C][C][C][C][C][C][C][C][C],Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96
[C][C][Branch1][C][C][Cl],2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41
[C][C][C][Branch1][C][C][C][O],2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47
[C][C][C][C][C][C][C][C][C][C][Branch1][C][C][O],2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][C],Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11
[C][C][C][C][C][C][C][O],1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][Branch1][C][C][Branch1][C][C][C],Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755
[Cl][C][=Branch1][C][=C][Cl],"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64
[C][C][C][C][C][=O],Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85
[C][C][C][C][C][C][C][I],1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81
[O][C][C][C][C][=C],4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15
[C][C][Branch1][C][C][O][C][=O],Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63
[C][C][C][C][C][C][Branch1][C][C][O],2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55
[C][C][C][C][C][C][C][#C],1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66
[C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05
[C][C][C][C][=Branch1][C][=O][C],2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19
[C][C][C][O][C][=Branch1][C][=O][C][C],Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82
[C][C][C][Branch1][C][Br][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][N][=O],Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68
[C][C][C][C][C][=Branch1][C][=O][O][C][C],Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25
[C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C],Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92
[C][C][C][Br],1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=O],Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995
[N][C][=Branch1][C][=S][N],Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67
[C][C][C][O][C][Branch1][C][C][C],Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34
[Cl][C][Cl],Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63
[C][O][C][=O],Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58
[C][C][Branch1][C][C][C],2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55
[C][C][C][C][C],Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18
