selfies,freesolv
[C][S][=Branch1][C][=O][=Branch1][C][=O][Cl],-4.87
[C][C][Branch1][C][C][C][=C],1.83
[C][C][C][C][C][C][C][O],-4.21
[C][C][Branch1][C][C][C][Branch1][C][C][C],2.34
[C][C][C][C][Branch1][C][C][Branch1][C][C][O],-3.92
[C][C][C@H1][Branch1][C][C][O],-4.62
[C][Branch1][C][Br][Br],-1.96
[C][C][C@H1][Branch1][=Branch1][C][Branch1][C][C][C][O],-3.88
[C][C][C][C][C][=Branch1][C][=O][O][C][C],-2.49
[C][C][=Branch1][O][=C][C][C][/C][=Branch1][Ring2][=C][\C][O][/C][C],-4.78
[C][C][C][C][Branch1][C][C][Branch1][C][C][C],2.88
[C][C][=Branch1][C][=O][O][C][C][O][C][=Branch1][C][=O][C],-6.34
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],-6.1
[C][C][C][C][C][#N],-3.52
[C][C][Branch1][C][C][Branch1][C][C][O],-4.47
[C][C][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][C],-2.74
[C][C][C][=O],-3.43
[C][N][Branch1][C][C][C][=O],-7.81
[C][=C][C][C][=C],0.93
[C][C][N][C][C],-4.07
[C][C][Branch1][C][C][C][C][O][C][=O],-2.13
[C][C][C][C][C][C][C][C][C][C][O],-3.64
[C][C][C][=Branch1][C][=O][O][C][C],-2.68
[C][C][C][C][C][C][C][C][C],3.13
[C][C][=Branch1][C][=O][N][C],-10.0
[C][C][C][C][C][C][C][C][=C],2.06
[C][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][O][C@@H1][Branch1][#Branch1][C@@H1][Branch1][Ring1][C][O][O][O][O][O][O],-23.62
[C][C][C][C][=Branch1][C][=O][O][C],-2.83
[C][C][C][N][C][C][C],-3.65
[C][Branch1][C][F][Branch1][C][F][Branch1][C][F][F],3.12
[C][C][C@@H1][Branch1][C][C][C][O],-4.42
[C][C][C][#C],-0.16
[N][N],-9.3
[C][C][C][C][C][C][C][C][N],-3.65
[N],-4.29
[C][C][Branch1][C][F][F],-0.11
[C][=C][C][=C],0.56
[C][N][Branch1][C][C][C],-3.2
[C][C][C][C][C][C][=Branch1][C][=O][N],-9.31
[C][C][Branch1][C][C][C][O][N+1][=Branch1][C][=O][O-1],-1.88
[C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O],-8.18
[C][C][C][C][C][C][C][=Branch1][C][=O][C],-2.88
[C][C][N],-4.5
[C][C][Branch1][C][Cl][Cl],-0.84
[C][C][C][C][C][C][C][C][Br],0.52
[C][C][C][C],2.1
[C][Cl],-0.55
[C][C][Branch1][C][C][C][Br],-0.03
[C][C][Branch1][C][C][S][C][Branch1][C][C][C],-1.21
[C][C][C][C][C][C][C],2.67
[C][Branch1][C][I][I],-2.49
[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C][C],-4.13
[C][N+1][=Branch1][C][=O][O-1],-4.02
[C][C][O][C],-2.1
[C][O][C][Branch1][Ring1][C][Cl][Branch1][Ring1][O][C][O][C],-4.59
[C][C][Branch1][C][C][C],2.3
[C][C][Branch1][C][C][C][C][=Branch1][C][=O][O],-6.09
[C][C][C][Cl],-0.33
[C][C][C][S][C][C][C],-1.28
[C][C][C][C@H1][Branch1][Ring1][C][C][O],-4.06
[C][C][#N],-3.88
[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][#Branch1][O][C][Branch1][C][F][F][Cl],0.1
[C][=C][C][C][C][=C],1.01
[C][C][=Branch1][C][=O][O][C],-3.13
[C][C][C][S],-1.1
[C][C][C][C][C][C][=Branch1][C][=O][C],-3.04
[C][C][C][C][C][C][=Branch1][C][=O][O][C][C],-2.23
[C][C][C][O][C],-1.66
[C][N][C],-4.29
[C][=Branch1][=Branch1][=C][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][F],2.93
[C][I],-0.89
[C][=Branch1][Ring1][=C][/Cl][\Cl],-0.78
[C][C][C][C][C],2.3
[C][C][C][C][#N],-3.64
[C@@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][Br],0.5
[C][C][C@H1][Branch1][C][C][O][N+1][=Branch1][C][=O][O-1],-1.82
[C][C][C@@H1][Branch1][C][C][C][Branch1][C][C][C],2.52
[C][C@H1][Branch1][#Branch1][C][C][Branch1][C][C][C][O],-3.73
[C][=C][Branch1][C][Cl][Cl],0.25
[C][C][Branch1][C][C][C][O],-4.5
[C][C][C][O][C][=Branch1][C][=O][C][C],-2.44
[C][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][Branch1][C][Cl][Branch1][C][Cl][Cl],-0.64
[C][C][Branch1][C][C][Branch1][C][C][Cl],1.09
[C][C][=Branch1][C][=C][C][=C],0.68
