selfies,lipo
[C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],-0.15
[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],0.0
[C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],0.92
[C][C@@][Branch1][S][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][Branch1][Ring1][N][N][C][=Branch1][C][=O][O],-0.7
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][O][C][O][C][C][O][C][Branch1][C][C][C][C][=C][Ring1][=C],0.1
[C][O][C][=C][C][=C][Branch1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Ring1][O],1.68
[O][B][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O],0.83
[C][C@@H1][Branch1][C][N][C][O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],0.6
[C][C][C][C][C][C][C][N][Branch1][Ring1][C][C][C][C][C][C][Branch1][C][O][C][=C][C][=C][Branch1][#Branch2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Ring1][O],1.2
[C][C][Branch1][C][N][C][=Branch1][C][=O][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],-0.15
[N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.3
[C][C][=C][C][=C][Branch1][N][\C][=C][Branch1][Ring1][/C][#N][\C][=Branch1][C][=O][N][C][=C][Ring1][=N],2.09
[C][C][C][C][=C][Branch1][C][O][C][=Branch2][Ring1][C][=C][C][=C][Ring1][#Branch1][O][C][C][C][C][S][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C],1.3
[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][O][C][S][=Branch1][C][=O][=Branch1][C][=O][C],-0.9
[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][C][Br][=C][Branch1][C][N][C][=C][Ring1][Branch2][O][C],0.54
[C][C][C][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][N][Branch1][C][C][C],2.11
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-0.96
[C][C][=C][C][=C][Branch1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Ring1][O],2.25
[N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],1.75
[C][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=N][N][C][=C][Ring1][#Branch2][C],-1.34
[C][C][N][Branch1][Ring1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C@@][Branch1][C][C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][Cl][=C][Ring1][P],3.66
[C][C][=Branch1][C][=N][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.28
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C],0.2
[C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C],0.51
[C][C][C][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],-0.33
