selfies,-logKd/Ki
[C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],0.4
[C][C][C][C][C][Branch2][Ring2][#C][C][NH2+1][C][Branch1][Branch1][C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][Branch1][C][C][O][C][Branch1][C][C][C][C],6.0
[C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][N][C][Branch2][=Branch1][Branch2][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][C][N+1][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch2][Ring1][S][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O][C][Branch1][C][C][O],6.0
[C][S][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],0.82
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],0.82
[O][C][C][Branch1][C][O][C][O],0.96
[C][NH2+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.0
[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1],6.0
[C][C][Branch1][C][C][C][C][Branch1][S][N][C][=Branch1][C][=O][C][Branch1][C][O][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][C][C][C][N][C][Branch1][C][N][=NH2+1],7.01
[N][C][=Branch1][C][=NH2+1][N][C][C][C][O],1.01
[O][=C][Branch1][C][O-1][C][C][C][=Branch1][C][=O][O-1],1.24
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.24
[N][C][=Branch1][C][=NH2+1][N][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.26
[N][C][=Branch1][C][=NH2+1][N][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.26
[C][C][Branch1][C][C][C][C][Branch2][Ring1][P][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O-1][C][Branch1][C][C][O],6.0
[N][C][=Branch1][C][=O][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.3
[O][=C][Branch1][C][O-1][C][C][=Branch1][C][=O][O-1],1.3
[C][C][Branch2][Ring2][=N][N][C][=Branch1][C][=O][C][Branch1][C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][C][N][C][Branch1][C][N][=NH2+1][N][C][=Branch1][C][=O][C][Branch1][C][NH3+1][C][C][C][N][C][Branch1][C][N][=NH2+1][C][=Branch1][C][=O][O-1],4.75
