smiles,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.32,-0.77
Cc1occc1C(=O)Nc2ccccc2,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3
CC(C)=CCCC(C)=CC(=O),citral,-2.579,1,152.237,0,0,4,17.07,-2.06
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87
c1ccsc1,Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33
c2ccc1scnc1c2 ,benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,Rotenone,-5.246,1,394.4230000000002,0,5,3,63.22,-4.42
O=C1CCCN1,2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07
Clc1ccc2ccccc2c1,2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14
CCCC=C,1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68
CCC1(C(=O)NCNC1=O)c2ccccc2,Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64
CCCCCCCCCCCCCC,Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96
CC(C)Cl,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41
CCC(C)CO,2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47
N#Cc1ccccc1,Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64
CCCCCCCCCC(C)O,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999
CCOP(=S)(OCC)SCSCC,Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11
CCOc1ccc(NC(=O)C)cc1,Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47
CCCCCCCO,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81
Cn1c(=O)n(C)c2nc[nH]c2c1=O,Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39
CCCCC1(CC)C(=O)NC(=O)NC1=O,Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9
CCCCCCCC(=O)OC,Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17
CCc1ccc(CC)cc1,"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75
CCOP(=S)(OCC)SCSC(C)(C)C,Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805
ClC(=C)Cl,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64
Cc1cccc2c1Cc3ccccc32,1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22
CCCCC=O,Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85
N(c1ccccc1)c2ccccc2,Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504
CN(C)C(=O)SCCCCOc1ccccc1,Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15
CCCCCCCI,1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81
c1c(Cl)cccc1c2ccccc2,3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88
OCCCC=C,4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15
O=C2NC(=O)C1(CCC1)C(=O)N2,Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655
CC(C)C1CCC(C)CC1O ,menthol,-2.782,1,156.269,1,1,1,20.23,-2.53
CC(C)OC=O,Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63
CCCCCC(C)O,2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55
CC(=O)Nc1ccc(Br)cc1,p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083
c1ccccc1n2ncc(N)c(Br)c2(=O),brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76
c2c(C)cc1nc(C)ccc1c2 ,"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94
CCCCCCC#C,1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,cyclobarbital,-2.421,1,236.271,2,2,2,75.27000000000001,-2.17
c1ccc2c(c1)ccc3c4ccccc4ccc23,Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6
Cc1ccccc1O,2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62
CC(C)CCC(C)(C)C,"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05
Cc1ccc(C)c2ccccc12,"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14
Cc1cc2c3ccccc3ccc2c4ccccc14,6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57
CCCC(=O)C,2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19
